ticker,type,description,coupon,current_price,low_52w,high_52w,range_width_pct,position_pct,num_swings,avg_swing_pct,current_yield_pct,avg_volume,is_swing_candidate
GEGGL,baby_bond,Great Elm Group Inc. 7.25% Notes due 06/30/2027,7.25,24.35,21.14,25.5,20.7,73.7,38,1.7,7.4,1680,False
GAINN,bdc,Gladstone Investment Corp. 5.00% Notes Due 5/1/2026,5.0,25.18,24.57,25.46,3.6,68.5,38,1.0,,5014,False
NEWTI,bdc,NewtekOne Inc 8.00% Notes Due 09/1/2028,8.0,25.05,23.9,25.82,8.0,59.9,36,1.3,,2648,False
TFSA,baby_bond,Terra Income Fund 6 Inc. 7.00% Notes Due 3/31/2026,7.0,15.25,9.25,27.04,192.3,33.7,34,4.1,11.5,1548,False
PRH,preferred,Prudential Financial Inc. 5.950% Junior Subordinated Notes due 9/1/2062,5.95,23.55,23.41,26.15,11.7,5.1,33,1.7,6.3,22125,False
CICB,baby_bond,CION Investment Corp 7.50% Notes Due 2029,7.5,24.73,24.32,26.0,6.9,24.4,33,1.4,7.6,7929,False
GECCH,bdc,Great Elm Capital Corp. 8.125% Notes Due 12/31/2029,8.125,25.45,24.4,26.52,8.7,49.4,33,1.2,,1971,False
SSSSL,bdc,Sutter Rock Capital Corp 6.00% Notes due 12/30/2026,6.0,25.08,24.2,25.35,4.8,76.5,33,1.0,,4004,False
CGABL,preferred,Carlyle Finance LLC 4.625% Subordinated Notes due 05/15/2061,4.625,17.45,16.42,18.8,14.5,43.2,32,2.8,6.6,33646,False
DCOMG,preferred,Dime Community Bancshares Fixed/Float Subordinated Notes due 07/15/2034,7.0,26.1,24.25,26.98,11.3,67.8,32,2.1,6.7,3769,False
ATLCL,baby_bond,Atlanticus Holdings Corp 6.125% Senior Notes Due 11/30/2026,6.125,25.0,23.7,25.44,7.3,74.7,32,1.4,6.1,19782,False
RZC,preferred,Reinsurance Group of America Reset Rate Sub Debentures due 10/15/2052,7.0,25.14,24.74,26.29,6.3,25.8,32,1.4,7.0,50365,False
GAINZ,bdc,Gladstone Investment Corp 4.875% Notes Due 11/01/2028,4.875,24.0,22.21,24.3,9.4,85.7,32,1.2,,4709,False
HNNAZ,baby_bond,Hennessy Advisors Inc. 4.875% Notes Due 12/31/2026,4.875,25.0,24.22,25.25,4.3,75.7,32,1.1,4.9,842,False
PFXNZ,bdc,PhenixFIN Corp 5.25% Senior Notes due 11/1/2028,5.25,23.69,22.72,24.17,6.4,67.5,32,1.1,,1692,False
TRINZ,bdc,Trinity Capital Inc. 7.875% Notes Due 03/30/2029,7.875,25.02,24.78,25.66,3.6,27.8,32,0.9,,13307,False
DHCNI,baby_bond,Diversified Healthcare Trust 5.625% Senior Notes due 8/1/2042,5.625,16.82,12.79,18.29,43.0,73.3,31,6.7,8.4,42731,False
TPGXL,preferred,TPG Operating Group II L.P. 6.95% Junior Subordinated Notes due 3/15/2064,6.95,24.82,23.53,26.25,11.6,47.4,31,2.0,7.0,20075,False
